Année;Championnat;Bassin;Code_Course;Type_Finale;Position;Temps;Club;Club_1;Club_2;Club_3;Club_4;Rameur_1;Rameur_2;Rameur_3;Rameur_4;Rameur_5;Rameur_6;Rameur_7;Rameur_8;Barreur
2014;SPRINTS CRITERIUM;Gérardmer;SF2x;FB;2.0;01:57.81;Cercle Nautique de France;CERCLE NAUTIQUE DE FRANCE;;;;Caroline VAREE;Berengere DOURDET;;;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SM2x 50%H/F;FF;3.0;01:57.85;U.S.Metropolitaine des Transports Paris;U.S.METROPOLITAINE DES TRANSPORTS PARIS;;;;Cecile GERARDIN;Thibaud NONNENMACHER;;;;;;;
2025;SPRINTS 500m;Libourne;SF2x;FD;6.0;01:57.86;Universite de Nantes Aviron;UNIVERSITE DE NANTES AVIRON;;;;Noa BESNIER;Oonagh KELLY;;;;;;;
2018;SPRINTS 500m;Vichy;SF2-;FA;6.0;01:57.91;Aviron Club de Manosque;AVIRON CLUB DE MANOSQUE;;;;Julie LEVESY;Anissa DIEUDONNE;;;;;;;
2016;SPRINTS 500m;Gérardmer;SF2-;FC;5.0;01:57.97;Aviron Beaucaire;AVIRON BEAUCAIRE;;;;Clementine CORONAT;Camille MASSE;;;;;;;
2024;SPRINTS 500m;Vichy;SF2x;FG;1.0;01:57.98;Aviron Sports et Loisirs de la Marne;AVIRON SPORTS ET LOISIRS DE LA MARNE;;;;Amelie PLAYEZ;Claudine PEDRO;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FF;3.0;01:58.03;Cognac Yacht Rowing Club;COGNAC YACHT ROWING CLUB;;;;Jeanne Louise BONNAUD;Zoe BERNARDIN;;;;;;;
2018;SPRINTS 500m;Vichy;SF2-;FB;4.0;01:58.06;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Anessa GHOMMAM;Imola PIALLA;;;;;;;
2016;SPRINTS PR;Gérardmer;SH4+ LTA-PD-VI;FA;1.0;01:58.08;Bayonne Av/Albi Av/Fontainebleau-Avon AN;AVIRON BAYONNAIS;AVIRON CLUB ALBIGEOIS;AVIRON DU PAYS DE FONTAINEBLEAU;;Bernadette PICKERING;Theo PAUL;Laurent VIALA;Jerome AGUERRE;;;;;Pierre LAURENT
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FA;6.0;01:58.14;Club Marignanais des Sports d'Aviron;CLUB MARIGNANAIS DES SPORTS D'AVIRON;;;;Apoline DANSAULT;Joana Filipa ROCHA JANICAS;;;;;;;
2019;SPRINTS CRITERIUM;Gérardmer;SF2x;FA;3.0;01:58.21;Societe Nautique de Pont-a-Mousson;SOCIETE NAUTIQUE DE PONT A MOUSSON;;;;Stephanie Charpentier;Aline Bourgeois-Bel;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FD;1.0;01:58.22;Aviron Agenais;AVIRON AGENAIS;;;;Diane MAISSONNIER;Sylvie ARBEY;;;;;;;
2024;SPRINTS 500m;Vichy;SF2-;FC;3.0;01:58.23;Union Nautique Montalbanaise;UNION NAUTIQUE MONTALBANAISE;;;;Santa CESARI;Maylis DE BENNETOT;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2x;FD;2.0;01:58.24;Societe Nautique de Saumur Aviron;SOCIETE NAUTIQUE DE SAUMUR AVIRON;;;;Claire D'ANGELO;Penelope CHAUVEAU;;;;;;;
2025;SPRINTS 500m;Libourne;SH2x;FH;5.0;01:58.27;Toulouse Universite Club;TOULOUSE UNIVERSITE CLUB;;;;Alexandre PRAX;Aurelien CAUSSAT;;;;;;;
2025;SPRINTS 500m;Libourne;SF2x;FE;1.0;01:58.28;Villeneuve AV;AVIRON VILLENEUVOIS;;;;Emma LARROQUE;Mathilde CAVAILLE;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FF;4.0;01:58.41;Romans ANRPG;AVIRON NAUTIQUE ROMANAIS PEAGEOIS GOUBETOIS;;;;Kahyna POVEDA;Ludivine GIRONA - EUGENIO;;;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SF2x;FC;6.0;01:58.43;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Camille DAGANAUD;Pearl MAINSANT;;;;;;;
2015;SPRINTS 500m;Mâcon;SM2x 50%H/F;FD;5.0;01:58.60;Sport Nautique Bisontin;SPORT NAUTIQUE BISONTIN;;;;Eloi LEROUX;Juliette ROBERT;;;;;;;
2014;SPRINTS CRITERIUM;Gérardmer;SF2x;FB;3.0;01:58.65;Boulogne 92;BOULOGNE 92;;;;Solene MUSY;Hélène HIRAT DOURNAUX;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;3.0;01:58.65;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Honorine RAVIER;Laura CANITROT;;;;;;;
2024;SPRINTS 500m;Vichy;SF2x;FG;2.0;01:58.67;Sedan Av;AVIRON SEDANAIS;;;;Esther DEGLAIRE;Esther DEGLAIRE;;;;;;;
2024;SPRINTS 500m;Vichy;SF2-;FC;4.0;01:58.68;Societe des Regates Maconnaises;SOCIETE DES REGATES MACONNAISES;;;;Maelou ROCCA;Tessa MARCHIONINI;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2x;FD;3.0;01:58.81;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Marion MINIGGIO;Fanny PARIS;;;;;;;
2018;SPRINTS CRITERIUM;Vichy;SF2x;FA;6.0;01:58.83;Rowing Club de Port Marly;ROWING CLUB DE PORT MARLY;;;;Celine COUVEZ;Sandra CHAIBAN;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FA;5.0;01:58.90;Societe des Regates Maconnaises;SOCIETE DES REGATES MACONNAISES;;;;Julie FOUILLAND;Tessa MARCHIONINI;;;;;;;
2016;SPRINTS 500m;Gérardmer;SF2-;FB;6.0;01:58.94;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Amelie BERTRAND;Gaelle LAQUIEZE;;;;;;;
2014;SPRINTS CRITERIUM;Gérardmer;SF4+;FA;5.0;01:58.95;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Nathalie FREZARD-BOURGAULT;Stephanie MAZET;Sophie ORDON;Monique SCHUBNEL;;;;;Jean-Guillaume CACHEUX
2017;SPRINTS CRITERIUM;Mantes-la-Jolie;SF2x;FB;5.0;01:58.95;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Monique SCHUBNEL;Sophie ORDON;;;;;;;
2013;SPRINTS 500m;Mantes-la-Jolie;SM2x 50%H/F;FF;4.0;01:58.96;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Carine POTHERAT-BOUVIER;Eric ROUYER;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FF;5.0;01:59.08;Association Sportive Villemurienne;ASSOCIATION SPORTIVE VILLEMURIENNE;;;;Lysa BRUGIERE;Elodie LACAN;;;;;;;
2018;SPRINTS 500m;Vichy;SH2-;FD;5.0;01:59.11;Union Sportive de Mittersheim;UNION SPORTIVE DE MITTERSHEIM;;;;Anthonin FALK;Nicolas BIZZARRI;;;;;;;
2019;SPRINTS CRITERIUM;Gérardmer;SF2x;FA;4.0;01:59.21;Cercle de l'Aviron de Chalon sur Saone;CERCLE DE L'AVIRON DE CHALON SUR SAONE;;;;Elise Thomas;Alexandra Merlin;;;;;;;
2016;SPRINTS CRITERIUM;Gérardmer;SF2x;FC;3.0;01:59.24;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Claire BURNY;Alizee BALIGAN ENGEL;;;;;;;
2018;SPRINTS 500m;Vichy;SF2-;FC;2.0;01:59.25;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Manon AMORETTI;Mathilde LESTIEUX;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;2.0;01:59.28;Aviron Romanais Peageois RCBI;AVIRON NAUTIQUE ROMANAIS PEAGEOIS GOUBETOIS;;;;Kahyna POVEDA;Melissandre DELAY;;;;;;;
2025;SPRINTS 500m;Libourne;SF2x;FE;2.0;01:59.33;Cognac Yacht Rowing Club;COGNAC YACHT ROWING CLUB;;;;Zoe BERNARDIN;Andrea MAXIME;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FB;3.0;01:59.39;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Delphine ALLART;Nathalie VILLECHENAUD;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FB;4.0;01:59.49;Cercle Nautique de Talloires;CERCLE NAUTIQUE DE TALLOIRES;;;;Julie PORTIER;Emma LYARET;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2x;FC;6.0;01:59.53;Associaton Sportive de Gerardmer;ASSOCIATON SPORTIVE DE GERARDMER;;;;Marion FETET;Agathe-Leopoldine TROENLEN;;;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SF2x;FC;6.0;01:59.74;Aviron Majolan;AVIRON MAJOLAN;;;;Lawry COUSTILLAS;Clarisse PLASKOWSKI;;;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SF2x;FD;3.0;01:59.78;Aviron Meulan-les-Mureaux-Hardricourt;AVIRON MEULAN LES MUREAUX HARDRICOURT;;;;Sophie ABBADIE;Manon BARBEAU;;;;;;;
2024;SPRINTS 500m;Vichy;SF2x;FG;3.0;01:59.78;Aviron Sports et Loisirs de la Marne;AVIRON SPORTS ET LOISIRS DE LA MARNE;;;;Marie GEOFFROY;Angelina CUINIER;;;;;;;
2013;SPRINTS CRITERIUM;Mantes-la-Jolie;SF2x;FB;4.0;01:59.83;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Monique SCHUBNEL;Sophie ORDON;;;;;;;
2013;SPRINTS CRITERIUM;Mantes-la-Jolie;SF4+;Finale;4.0;01:59.83;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Monique SCHUBNEL;Sophie ORDON;;;;;;;
2014;SPRINTS 500m;Gérardmer;SF2-;FB;5.0;01:59.87;Aviron Club Montargis Gatinais;AVIRON CLUB MONTARGIS GATINAIS;;;;Camille VINADELLE;Camille CARPENTIER;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FA;4.0;01:59.92;Aviron Club du Lac d'Aiguebelette;AVIRON CLUB DU LAC D'AIGUEBELETTE;;;;Margot ABRÉAL;Susannah DUNCAN;;;;;;;
2018;SPRINTS 500m;Vichy;SF2-;FC;3.0;01:59.95;Societe Nautique du Perreux;SOCIETE NAUTIQUE DU PERREUX;;;;Laurene BENEL;Solene DEFRANCE;;;;;;;
2018;SPRINTS PR;Vichy;SH2x open;FA;1.0;02:00.00;Boulogne 92;BOULOGNE 92;;;;Stephane TARDIEU;Christophe LAVIGNE;;;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SF2x;FD;4.0;02:00.28;Cercle Nautique de Melun;CERCLE NAUTIQUE DE MELUN;;;;Suzy FAUVEL;Sarah PECQUENARD;;;;;;;
2016;SPRINTS CRITERIUM;Gérardmer;SF2x;FC;4.0;02:00.39;Associaton Sportive de Gerardmer;ASSOCIATON SPORTIVE DE GERARDMER;;;;Leonore TIXIER;Marion FETET;;;;;;;
2018;SPRINTS PR;Vichy;SH2x open;FA;2.0;02:00.40;Ris Orangis USRO/Meaux CN;UNION SPORTIVE DE RIS ORANGIS AVIRON;CERCLE NAUTIQUE DE MEAUX;;;Vincent COURTOIS;Vincent LE BIHAN;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FG;1.0;02:00.42;Montpitol Aviron Club du Lac du Laragou;MONTPITOL AVIRON CLUB DU LAC DU LARAGOU;;;;Maria ROTIEL;Sarah ROTIEL;;;;;;;
2016;SPRINTS CRITERIUM;Gérardmer;SF2x;FA;6.0;02:00.47;Societe Nautique du Perreux;SOCIETE NAUTIQUE DU PERREUX;;;;Laurene BENEL;Solene DEFRANCE;;;;;;;
2018;SPRINTS CRITERIUM;Vichy;SF2x;FB;1.0;02:00.74;Association l'Avi Sourire;ASSOCIATION L'AVI SOURIRE;;;;Dominique GUENDE - DIEUDONNE;Marine GUENDE;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SM2x 50%H/F;FG;5.0;02:00.95;Societe Nautique d'Enghien;SOCIETE NAUTIQUE D'ENGHIEN;;;;Emilie FLORIN DESSENNE;Fabrice STRNAD;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FA;5.0;02:00.97;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Clare GERAY;Vanina PALLATIN;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2x;FD;4.0;02:01.01;Toulouse Aviron Sports et Loisirs;TOULOUSE AVIRON SPORTS ET LOISIRS;;;;Heloise GUIRAUD;Fatma KHELIFI;;;;;;;
2016;SPRINTS CRITERIUM;Gérardmer;SF2x;FC;5.0;02:01.02;Aviron Strasbourg 1881;AVIRON STRASBOURG 1881;;;;Karola RITTNER;Claire L'HOSPITALIER-GASTAUD;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FA;5.0;02:01.03;Aviron Union Nautique de Lyon;AVIRON UNION NAUTIQUE DE LYON;;;;Claire BAHAIN;Laura BAHAIN;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SM2x 50%H/F;FG;6.0;02:01.03;Societe Nautique de la Basse Seine;SOCIETE NAUTIQUE DE LA BASSE SEINE;;;;Lucie LEVECOT;Louis HERBAUT;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;1.0;02:01.19;Entente Nautique d'Aix-les-Bains Aviron;ENTENTE NAUTIQUE D'AIX LES BAINS AVIRON;;;;Lea MORVAN;Maeva MORVAN;;;;;;;
2017;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;4.0;02:01.20;Club Nautique Dieppois;CLUB NAUTIQUE DIEPPOIS;;;;Camille ROULLAND;Jeanne DAGICOUR POULAIN;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FB;1.0;02:01.21;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Marie PICARD;Helene GERAUD;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FG;2.0;02:01.21;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Melanie ADOLPHE;Blandine CARMAGNAC;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;4.0;02:01.29;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Melyne LAGRANGE;Marie SERIE;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;4.0;02:01.30;Club de l'Aviron de Vichy;CLUB DE L'AVIRON DE VICHY;;;;Alicia LAFAYE;Amelia LAFAYE;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FA;6.0;02:01.31;Aviron Majolan;AVIRON MAJOLAN;;;;Elodie NAMIAN;Lilou Charlotte COUSTILLAS;;;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SF2x;FD;5.0;02:01.33;Societe Nautique de Monaco;SOCIETE NAUTIQUE DE MONACO;;;;Chiara DONATO;Martina Michelle SGARBI;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FA;6.0;02:01.33;Cercle Nautique des Regates Remoises;CERCLE NAUTIQUE DES REGATES REMOISES;;;;Noemie SEPE;Alexane LEFEVRE;;;;;;;
2018;SPRINTS 500m;Vichy;SF2-;FB;5.0;02:01.36;Club de l'Aviron de Vichy;CLUB DE L'AVIRON DE VICHY;;;;Camille FERNANDES;Zoe CHARPOTIER;;;;;;;
2019;SPRINTS PR;Gérardmer;SM2x PR3 1H/1F;FA;2.0;02:01.41;Association l'Avi Sourire;ASSOCIATION L'AVI SOURIRE;;;;Lilian Patinaud;Emilie Tabouret;;;;;;;
2019;SPRINTS PR;Gérardmer;SM4+ PR3 1H/1F;Finale;2.0;02:01.41;Association l'Avi Sourire;ASSOCIATION L'AVI SOURIRE;;;;Lilian Patinaud;Emilie Tabouret;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FB;2.0;02:01.45;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Adele BECHEAU;Candice TELLIER;;;;;;;
2016;SPRINTS CRITERIUM;Gérardmer;SF2x;FC;6.0;02:01.47;Societe Nautique de Chatellerault;SOCIETE NAUTIQUE DE CHATELLERAULT;;;;Florence POWELL;Mona MOTARD;;;;;;;
2015;SPRINTS 500m;Mâcon;SM2x 50%H/F;FF;6.0;02:01.60;Niort Aviron Club;NIORT AVIRON CLUB;;;;Chloe MAIANO;Mathias CALEDEC;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FA;6.0;02:01.63;Cercle Nautique des Regates Remoises;CERCLE NAUTIQUE DES REGATES REMOISES;;;;Morgane GAUDEY;Laura DOUCHIN;;;;;;;
2018;SPRINTS 500m;Vichy;SF2-;FB;6.0;02:01.64;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Amandine MARTY;Yelen ROQUES;;;;;;;
2015;SPRINTS 1000m;Mâcon;SF4+;FA;2.0;02:01.71;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Emilie PARIS;France DUBICH;Adéle MORNAS;Anne CASTANER;;;;;Clement LEFRANC
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FD;2.0;02:01.74;Societe Nautique de Pont-a-Mousson;SOCIETE NAUTIQUE DE PONT A MOUSSON;;;;Elina HUMBERT;Margaux PETITJEAN;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;5.0;02:01.75;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Lea DURET;Marie DEKEYSER;;;;;;;
2019;SPRINTS CRITERIUM;Gérardmer;SF2x;FA;5.0;02:01.78;Rowing Club;ROWING CLUB SOCIETE DES REGATES PARISIENNES;;;;Mathilde Duhamel;Pitakani Tangou;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF4x;FE;6.0;02:01.89;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Claire FAUVETTE;Aurore VANDENBROUCKE;Marie VANDENBROUCKE;Maud JULLIAN;;;;;
2023;BRS;Thonon les Bains;SM4x+ 50%H/50%F;FB;1.0;02:01.923;Societe Nautique de la Baie de Saint-Malo;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;;;;Clement THOMAS;Chloe BRIARD;Charline LEBRETON;Kerrian BOULAY;;;;;Romain MAUDET
2015;SPRINTS 500m;Mâcon;SF2x;FD;5.0;02:01.95;Aviron Club Soustonnais;AVIRON CLUB SOUSTONNAIS;;;;Chloe BENOIT;Juliette LUCMARET;;;;;;;
2025;UNSS COLLEGE;Léry-Poses;CF4Yx+;FA;1.0;02:01.95;Collège Saint-Laurent-La Paix ND-Lagny-sur-Marne;COLLEGE SAINT LAURENT LA PAIX ND LAGNY SUR MARNE;;;;Arthur VINCENT;Mahé BOURDOT;Leny THELLIEZ;Alice DE MARQUE;;;;;Alexandre ROUSSEL
2015;SPRINTS CRITERIUM;Mâcon;SF2x;FA;3.0;02:01.96;Societe des Regates Maconnaises;SOCIETE DES REGATES MACONNAISES;;;;Sarah BAKOURI;Daphne HECKER;;;;;;;
2021;PR;Mantes-la-Jolie;SM2x HV 50%H/50%F;FA;1.0;02:01.97;Boulogne 92;BOULOGNE 92;;;;Heloise COURVOISIER;Alexandre BRIDEL;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FG;3.0;02:01.97;Aviron Meulan-les-Mureaux-Hardricourt;AVIRON MEULAN LES MUREAUX HARDRICOURT;;;;Marie LEFEBVRE;Jeanne PAIRAULT;;;;;;;
2019;SPRINTS PR;Gérardmer;SF1x PR3-ID;Finale;2.0;02:02.02;Club Nautique de Charleville-Mezieres;CLUB NAUTIQUE DE CHARLEVILLE MEZIERES;;;;Steven Geronde;;;;;;;;
2019;SPRINTS PR;Gérardmer;SH1x PR3-ID;FA;2.0;02:02.02;Club Nautique de Charleville-Mezieres;CLUB NAUTIQUE DE CHARLEVILLE MEZIERES;;;;Steven Geronde;;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SH1x LTA-ID;FA;1.0;02:02.13;Societe Havraise de l'Aviron;SOCIETE HAVRAISE DE L'AVIRON;;;;Benjamin HEMET;;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FC;2.0;02:02.19;Sporting Dunkerquois;SPORTING DUNKERQUOIS;;;;Tiphaine HAMEAU;Chloe DESPLECHIN;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FF;6.0;02:02.22;Aviron Decinois;AVIRON DECINOIS;;;;Sarah SANFILIPPO VIELLE;Marie Amelie TABET PASSAQUET;;;;;;;
2017;SPRINTS PR;Mantes-la-Jolie;SH4+ LTA-PD-VI;FA;1.0;02:02.24;Albi AC/Bayonne Av/Cognac RC/Fontainebleau Av;AVIRON CLUB ALBIGEOIS;AVIRON BAYONNAIS;COGNAC YACHT ROWING CLUB;AVIRON DU PAYS DE FONTAINEBLEAU;Jerome AGUERRE;Bernadette PICKERING;Laurent VIALA;Theo PAUL;;;;;Robin LE BARREAU
2025;SPRINTS PR;Libourne;SH2x PR OPEN;FA;1.0;02:02.25;CAHORS A / FENOUILLET AB;AVIRON CADURCIEN;AVIRON DU BOCAGE;;;Jerome PAILLER;Jean-Pierre CASTELLANO;;;;;;;
2025;SPRINTS PR;Libourne;SM2x PR3-VI 50%H/F;Finale;1.0;02:02.25;CAHORS A / FENOUILLET AB;AVIRON CADURCIEN;AVIRON DU BOCAGE;;;Jerome PAILLER;Jean-Pierre CASTELLANO;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SF1x PR3-ID CD;Finale;2.0;02:02.28;Association Sportive Mantaise;ASSOCIATION SPORTIVE MANTAISE;;;;Damien TOUCHAGUES;;;;;;;;
2022;SPRINTS PR;Vaires-sur-Marne;SH1x PR3-ID CD;FA;2.0;02:02.28;Association Sportive Mantaise;ASSOCIATION SPORTIVE MANTAISE;;;;Damien TOUCHAGUES;;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;5.0;02:02.29;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Anaele MADIC;Moira LAMURE;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FB;3.0;02:02.31;Aviron Beaucaire;AVIRON BEAUCAIRE;;;;Clementine CORONAT;Camille MASSE;;;;;;;
2016;SPRINTS 500m;Gérardmer;SF2-;FC;6.0;02:02.33;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Justine MASSON;Ema LEMARCHAND;;;;;;;
2024;SPRINTS 500m;Vichy;SF2x;FG;4.0;02:02.34;Aviron Club Orleans-Olivet;AVIRON CLUB ORLEANS OLIVET;;;;Rachel DEFOUILHOUX;Balkiss CHEBBI;;;;;;;
2022;SPRINTS 500m;Vaires-sur-Marne;SM2x 50%H/F;FF;6.0;02:02.37;Societe Nautique d'Enghien;SOCIETE NAUTIQUE D'ENGHIEN;;;;Jarod MAGNEZ;Capucine LAGET;;;;;;;
2018;SPRINTS 500m;Vichy;SM2x 50%H/F;FD;4.0;02:02.49;Toulouse Aviron Sports et Loisirs;TOULOUSE AVIRON SPORTS ET LOISIRS;;;;Benedicte MAZIERES;Bertrand PRIET;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FC;3.0;02:02.50;Club Nautique de Chateau-Gontier Aviron;CLUB NAUTIQUE DE CHATEAU GONTIER AVIRON;;;;Morgane POIRIER;Rose BOULAY;;;;;;;
2016;SPRINTS 500m;Gérardmer;SF8+;FC;3.0;02:02.51;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Solene VANHELLEPUTTE;Monique SCHUBNEL;Nathalie FREZARD-BOURGAULT;Anne-Francoise SIROT-DEVINEAU;Audrey LEHADOUEY;Alicia MAUGEIN;Sophie ORDON;Claire CATEL;Djason MADAGASCAR
2015;SPRINTS 500m;Mâcon;SF2x;FD;6.0;02:02.55;Cercle de l'Aviron de Chalon sur Saone;CERCLE DE L'AVIRON DE CHALON SUR SAONE;;;;Elise THOMAS;Melanie OQUIDAN;;;;;;;
2015;SPRINTS CRITERIUM;Mâcon;SF2x;FA;4.0;02:02.72;Aviron Roanne-le Coteau;AVIRON ROANNE LE COTEAU;;;;Noemie CHAZELLE;Ingrid THORAL;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2-;FC;3.0;02:02.81;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Leanne CROCHET;Ilana SUAREZ-MARTIN;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2-;FB;6.0;02:02.84;Aviron Club 94 du Parc Interdepartemental;AVIRON CLUB 94 DU PARC INTERDEPARTEMENTAL;;;;Laura ALVEOLOS;Malaurie GRILLON;;;;;;;
2015;SPRINTS 1000m;Mâcon;SF4+;FA;3.0;02:02.98;Aviron Majolan;AVIRON MAJOLAN;;;;Isabelle PAILLET;Linda BREDEL;Christine COUDURIER;Cecile BECARIE;;;;;Marianne PAILLET
2017;SPRINTS CRITERIUM;Mantes-la-Jolie;SF2x;FB;6.0;02:03.12;Universite de Nantes Aviron;UNIVERSITE DE NANTES AVIRON;;;;Mathilde LAOT;Maude VINCENT;;;;;;;
2015;SPRINTS 500m;Mâcon;SF2-;FB;4.0;02:03.15;Ass.Sportive Corbeil-Essonnes Aviron 91;ASSOCIATION SPORTIVE CORBEIL ESSONNES AVIRON;;;;Marine MAHIEU;Claire DENOYETTE;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FG;4.0;02:03.39;Aviron Majolan;AVIRON MAJOLAN;;;;Noemie MARQUES;Penelope BESSON;;;;;;;
2015;SPRINTS PR;Mâcon;SM2x open;FA;1.0;02:03.50;Bayonne Av/Boulogne Billancourt ACBB;AVIRON BAYONNAIS;BOULOGNE 92;;;Stephane TARDIEU;Perle BOUGE;;;;;;;
2014;SPRINTS 500m;Gérardmer;SF2-;FB;6.0;02:03.56;SCA 2000 Aviron Evry;SCA 2000 AVIRON EVRY;;;;Delphine CAZIN;Sandrine GARCIA;;;;;;;
2021;SPRINTS 500m;Mantes-la-Jolie;SF2x;FG;5.0;02:03.58;Aviron Sainte-Livrade;AVIRON SAINTE LIVRADE;;;;Camille PARISE;Delphine SERRES;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FD;3.0;02:03.70;Association Sportive Villemurienne;ASSOCIATION SPORTIVE VILLEMURIENNE;;;;Romane GRISELDING;Lotty WHITFIELD;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FC;4.0;02:03.73;Cercle Nautique de Meaux;CERCLE NAUTIQUE DE MEAUX;;;;Lya OBERT;Lisa FENIE;;;;;;;
2023;SPRINTS 500m;Mantes-la-Jolie;SF2x;FB;5.0;02:03.78;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Bianca LESPINE;Eve EGELE;;;;;;;
